"id","title.orig","title.Arab","title.Latn","language.main","language.other","date.onset","date.terminus","location.id","toponym","toponym.Arab","toponym.Latn","lat","long","holdings","digitised"
"jaraid:t1r869","مجلة الاحكام الشرعية","مجلة الاحكام الشرعية","Majallat al-Aḥkām al-Sharʿiyya","ar","NA","1902-04-24","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","F"
"jaraid:t1r1545","مجلة الاحكام الشرعية","مجلة الاحكام الشرعية","Majallat al-Aḥkām al-Sharʿiyya","ar","NA","1902-04-24","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","F"
"jaraid:t1r1972","دليل الطلاب","دليل الطلاب","Dalīl al-Ṭullāb","ar","NA","1902-05-01","","geon:359783","Asyut","أسيوط","Asyut","27.18096","31.18368","F","F"
"jaraid:t1r1905","الزهرة","الزهرة","al-Zuhra","ar","NA","1902-05-08","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","F","F"
"jaraid:t1r891","الصياد","الصياد","al-Ṣayyād","ar","NA","1902-05-09","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r2100","جراب الكردي","جراب الكردي","Jirāb al-Kurdī","ar","NA","1902-05-24","","geon:5128581","New York City","نيويورك","New York City","40.71427","-74.00597","F","F"
"jaraid:t1r892","المقسود","المقسود","al-Maqsūd","ar","NA","1902-06-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r1546","السعادة","السعادة","al-Saʿāda","ar","NA","1902-07-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r893","التيمز المصري","التيمز المصري","al-Taymz al-Miṣrī","ar","NA","1902-07-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r1977","المنصورة","المنصورة","al-Manṣūra","ar","NA","1902-07-08","","geon:360761","Al Mansurah","منصورة","Manṣūra","31.03637","31.38069","F","F"
